Tenure_MinMaxScaled,MonthlyCharges_MinMaxScaled,TotalCharges_MinMaxScaled,SeniorCitizen_MinMaxScaled
0.07142857142857142,0.2458100558659218,0.1763053746967956,1.0
0.2857142857142857,0.5195530726256984,0.20349802119239116,1.0
0.3714285714285714,0.06145251396648045,0.1654538490999617,1.0
0.7428571428571429,0.050279329608938536,0.8925060640878335,1.0
0.21428571428571427,0.9217877094972068,0.11030256606664113,1.0
0.7714285714285715,0.13407821229050282,0.9420400868122047,0.0
0.9285714285714286,0.44134078212290506,0.5130856632197114,1.0
0.8571428571428572,0.6033519553072626,0.37393080556619435,1.0
0.9,0.5810055865921788,0.9975743648665901,1.0
0.1857142857142857,0.558659217877095,0.725775564917656,1.0
0.8285714285714286,0.20670391061452514,0.639474020171071,0.0
0.0857142857142857,0.5027932960893855,0.9093578450146814,1.0
0.7428571428571429,0.3687150837988827,0.4186135580237457,1.0
0.09999999999999999,0.7709497206703911,0.7704583173752074,1.0
0.7428571428571429,0.2122905027932961,0.0777479892761394,1.0
0.9142857142857143,0.31843575418994413,0.4994255074684029,1.0
0.2571428571428571,0.9329608938547486,0.601940508106728,0.0
0.5857142857142857,0.45251396648044695,0.45665773011617516,0.0
0.0857142857142857,0.7597765363128492,0.6676879867228392,0.0
0.35714285714285715,0.4748603351955307,0.8565045321077492,1.0
0.5285714285714286,0.6536312849162011,0.10736627090514489,1.0
0.34285714285714286,0.558659217877095,0.599514872973318,0.0
0.8428571428571429,0.111731843575419,0.2037533512064343,1.0
0.41428571428571426,0.44692737430167595,0.4533384399336142,1.0
0.34285714285714286,0.9664804469273743,0.9454870420017872,0.0
0.6571428571428571,0.899441340782123,0.40035746201966044,1.0
0.8428571428571429,0.45251396648044695,0.4572960551512831,1.0
0.2714285714285714,0.2011173184357542,0.48397804161879227,1.0
0.49999999999999994,0.8659217877094972,0.44976381973701013,0.0
0.4714285714285714,0.9497206703910616,0.9422954168262478,1.0
0.3857142857142857,0.45251396648044695,0.572449891484744,1.0
0.12857142857142856,0.9832402234636871,0.5956849227626707,0.0
0.6,0.9050279329608938,0.8898250989403804,0.0
0.44285714285714284,0.9776536312849163,0.8911017490105961,1.0
0.8428571428571429,0.13407821229050282,0.14592110302566066,1.0
0.7000000000000001,0.5363128491620112,0.06779011872845653,1.0
0.5142857142857143,0.12290502793296089,0.1006000255330014,0.0
0.8714285714285714,0.8156424581005587,0.7744159325928762,1.0
0.7000000000000001,0.3575418994413408,0.08923783990808119,0.0
0.35714285714285715,0.7318435754189945,0.22890335758968466,0.0
0.5857142857142857,0.0,0.2286480275756415,1.0
0.0857142857142857,0.7150837988826816,0.32452444784884465,0.0
0.8857142857142858,0.38547486033519557,0.8155240648538236,0.0
0.5857142857142857,0.5754189944134078,0.479254436358994,1.0
0.4714285714285714,0.4078212290502794,0.4066130473637176,0.0
0.44285714285714284,0.8379888268156425,0.5890463423975488,1.0
0.3,0.1452513966480447,0.9442103919315715,1.0
0.5142857142857143,0.7932960893854749,0.4565300651091536,1.0
0.7857142857142857,0.16201117318435754,0.410698327588408,0.0
0.6857142857142857,0.5642458100558659,0.6385803651219201,0.0
