Feature,Importance
numeric__Tenure,0.16978003558854723
categorical__Tenure_Group_New,0.1677453747475106
numeric__Customer_Lifetime_Value,0.1306692289927579
numeric__Charge_Per_Tenure_Month,0.12602694974297368
numeric__Total_Charges_Per_Month,0.1044913447862463
categorical__Tenure_Group_Loyal,0.04492716743314393
categorical__Tenure_Group_Established,0.042793362605185174
categorical__Tenure_Group_Developing,0.026361021322205986
categorical__Contract_Month-to-month,0.0247056184130569
categorical__Contract_One year,0.021780378846202434
numeric__MonthlyCharges,0.019383600016066642
numeric__Average_Monthly_Value,0.018606456398599282
numeric__TotalCharges,0.01381169459326865
categorical__Contract_Two year,0.004285716385039406
numeric__SeniorCitizen,0.002968560981222232
categorical__CustomerID_C00324,0.0027780317748068565
categorical__PaymentMethod_Bank Transfer,0.002690741858869733
categorical__CustomerID_C00353,0.0024957600850970536
categorical__CustomerID_C00346,0.0023923289948439455
categorical__PaymentMethod_Electronic Check,0.002233052867785253
categorical__PaymentMethod_Credit Card,0.0019120447194529771
categorical__CustomerID_C00142,0.0018001698871584594
categorical__CustomerID_C00338,0.0017810656545626552
categorical__CustomerID_C00174,0.0017802335034717079
categorical__PaperlessBilling_Yes,0.0016145942987239982
categorical__CustomerID_C00435,0.001609823694530122
categorical__CustomerID_C00140,0.001572870654254598
categorical__CustomerID_C00283,0.001566039086502235
categorical__CustomerID_C00151,0.0015657534159039701
categorical__CustomerID_C00252,0.0014182871976878848
categorical__CustomerID_C00455,0.0013850606419724832
categorical__PaperlessBilling_No,0.0013171603830308808
categorical__CustomerID_C00390,0.001241255418982603
categorical__CustomerID_C00105,0.0012256598908517052
categorical__CustomerID_C00499,0.0012238079818592236
categorical__CustomerID_C00348,0.001216912568327387
categorical__CustomerID_C00147,0.001189443619844373
categorical__CustomerID_C00309,0.0011418623165820553
categorical__CustomerID_C00397,0.0011292502789614996
categorical__CustomerID_C00042,0.001116680595886782
categorical__CustomerID_C00385,0.0011093711895433934
categorical__CustomerID_C00091,0.0010961172342950887
categorical__CustomerID_C00471,0.0010182761358549885
categorical__CustomerID_C00464,0.0009317528324349758
categorical__CustomerID_C00137,0.000901294466834569
categorical__CustomerID_C00131,0.0008999663976152175
categorical__CustomerID_C00125,0.0008486749925385251
categorical__CustomerID_C00414,0.0008459044859240267
categorical__CustomerID_C00032,0.0008340002303526301
categorical__CustomerID_C00062,0.0008339438582000636
categorical__CustomerID_C00263,0.0007758388005414278
categorical__CustomerID_C00099,0.0007626981644467732
categorical__CustomerID_C00079,0.0007537189977439694
categorical__CustomerID_C00066,0.000748673740546953
categorical__CustomerID_C00104,0.0007230734290274303
categorical__CustomerID_C00391,0.0007118294207655171
categorical__CustomerID_C00074,0.0006957438100467481
categorical__CustomerID_C00423,0.0006928142496031639
categorical__CustomerID_C00393,0.0006879311240054703
categorical__CustomerID_C00493,0.0006641572720748968
categorical__CustomerID_C00408,0.0006505811315245197
categorical__CustomerID_C00278,0.0006396497109598737
categorical__CustomerID_C00069,0.0006375850209926438
categorical__CustomerID_C00214,0.0006252901690491888
categorical__CustomerID_C00266,0.0006245875288943576
categorical__CustomerID_C00446,0.0005379145215752017
categorical__CustomerID_C00014,0.0005224343587502137
categorical__CustomerID_C00401,0.000517381279000468
categorical__CustomerID_C00158,0.0005170726229138
categorical__CustomerID_C00233,0.0005156646760372739
categorical__CustomerID_C00407,0.0004593617287963086
categorical__CustomerID_C00424,0.00041544547463192775
categorical__CustomerID_C00012,0.0004067247884581829
categorical__CustomerID_C00334,0.0003977105897324675
categorical__CustomerID_C00354,0.000381427100662487
categorical__CustomerID_C00001,0.0003718753622602426
categorical__CustomerID_C00306,0.0003711648190303487
categorical__CustomerID_C00287,0.00035648025371265305
categorical__CustomerID_C00077,0.0003539650267599182
categorical__CustomerID_C00428,0.0003489863207449195
categorical__CustomerID_C00477,0.00034555745531235403
categorical__CustomerID_C00458,0.0003126598305466544
categorical__CustomerID_C00447,0.0003098886101197482
categorical__CustomerID_C00267,0.0003041048329723995
categorical__CustomerID_C00470,0.0003036626425639705
categorical__CustomerID_C00337,0.00029376096243737356
categorical__CustomerID_C00497,0.00026963581120043246
categorical__CustomerID_C00242,0.0002615934941862454
categorical__CustomerID_C00474,0.000261583774992412
categorical__CustomerID_C00178,0.0002414146873710795
categorical__CustomerID_C00320,0.00024113998404131688
categorical__CustomerID_C00108,0.00023182526661241878
categorical__CustomerID_C00405,0.00021220835579321095
categorical__CustomerID_C00187,0.00020313253794263607
categorical__CustomerID_C00010,0.00020161589163024692
categorical__CustomerID_C00061,0.00019922392653672037
categorical__CustomerID_C00243,0.00019376268077118063
categorical__CustomerID_C00021,0.0001795652927286131
categorical__CustomerID_C00128,0.00017527458120700326
categorical__CustomerID_C00450,0.0001686525311620759
categorical__CustomerID_C00299,0.000164872984081871
categorical__CustomerID_C00297,0.00015949947904546642
categorical__CustomerID_C00236,0.00015750140919635068
categorical__CustomerID_C00257,0.00014844627707012264
categorical__CustomerID_C00145,0.000145084732527287
categorical__CustomerID_C00117,0.000142210554037322
categorical__CustomerID_C00238,0.00014220054807966793
categorical__CustomerID_C00129,0.00013658042930081823
categorical__CustomerID_C00388,0.00013422677844557955
categorical__CustomerID_C00284,0.0001332608831946157
categorical__CustomerID_C00373,0.00012969643983238452
categorical__CustomerID_C00352,0.00012895650521170537
categorical__CustomerID_C00122,0.0001274372075978687
categorical__CustomerID_C00134,0.00012565303290580757
categorical__CustomerID_C00204,0.00012479053629682458
categorical__CustomerID_C00017,0.00011833995389082753
categorical__CustomerID_C00223,0.00011748056499629001
categorical__CustomerID_C00293,0.00011071314082450018
categorical__CustomerID_C00475,0.00011061880255558151
categorical__CustomerID_C00311,0.00010878342742806051
categorical__CustomerID_C00009,0.00010681029527828207
categorical__CustomerID_C00073,0.00010485949141979741
categorical__CustomerID_C00196,0.00010460632633121951
categorical__CustomerID_C00420,0.00010107738291599115
categorical__CustomerID_C00245,9.863301059621342e-05
categorical__CustomerID_C00434,9.84346800693138e-05
categorical__CustomerID_C00364,9.73152148775905e-05
categorical__CustomerID_C00396,9.664556096870905e-05
categorical__CustomerID_C00026,9.43496306745545e-05
categorical__CustomerID_C00181,9.411733276440347e-05
categorical__CustomerID_C00192,9.409911502912247e-05
categorical__CustomerID_C00498,9.061309049279863e-05
categorical__CustomerID_C00416,9.0573141021344e-05
categorical__CustomerID_C00486,9.036219868612014e-05
categorical__CustomerID_C00080,8.869616300789137e-05
categorical__CustomerID_C00164,8.862069643076809e-05
categorical__CustomerID_C00459,8.799343883244179e-05
categorical__CustomerID_C00113,8.620221210195187e-05
categorical__CustomerID_C00375,8.587260628320716e-05
categorical__CustomerID_C00333,8.458369462172624e-05
categorical__CustomerID_C00482,8.010718862570927e-05
categorical__CustomerID_C00229,7.973251537300912e-05
categorical__CustomerID_C00439,7.919552140838544e-05
categorical__CustomerID_C00143,7.819996878672398e-05
categorical__CustomerID_C00198,7.740202356150918e-05
categorical__CustomerID_C00224,7.597135690122248e-05
categorical__CustomerID_C00006,7.512822320475792e-05
categorical__CustomerID_C00086,7.48151068066447e-05
categorical__CustomerID_C00422,7.366458833195095e-05
categorical__CustomerID_C00168,7.178852229466315e-05
categorical__CustomerID_C00222,7.078473817549009e-05
categorical__CustomerID_C00116,6.991688925531097e-05
categorical__CustomerID_C00251,6.78149288111552e-05
categorical__CustomerID_C00269,6.778847568318556e-05
categorical__CustomerID_C00162,6.59284953385232e-05
categorical__CustomerID_C00452,6.437756511691451e-05
categorical__CustomerID_C00285,6.314999187775642e-05
categorical__CustomerID_C00030,6.12548912563258e-05
categorical__CustomerID_C00170,5.911743680999647e-05
categorical__CustomerID_C00254,5.872404837320079e-05
categorical__CustomerID_C00201,5.536890793757318e-05
categorical__CustomerID_C00036,5.536678319405679e-05
categorical__CustomerID_C00226,5.50656641329919e-05
categorical__CustomerID_C00247,5.451570617113978e-05
categorical__CustomerID_C00124,5.386796856936157e-05
categorical__CustomerID_C00317,5.302690057883678e-05
categorical__CustomerID_C00372,5.267400004441819e-05
categorical__CustomerID_C00410,5.2566649676205456e-05
categorical__CustomerID_C00491,5.196604243967994e-05
categorical__CustomerID_C00465,5.11557408109131e-05
categorical__CustomerID_C00394,5.1028298350769424e-05
categorical__CustomerID_C00433,5.0244281439118506e-05
categorical__CustomerID_C00274,4.98315680666063e-05
categorical__CustomerID_C00319,4.9765078176006794e-05
categorical__CustomerID_C00008,4.766703425825951e-05
